飞机转场记录号,"到达
日期","到达
时刻","到达
航班",到达类型,飞机型号,"出发
日期","出发
时刻","出发
航班",出发类型,"上线
机场","下线
机场",问题一登机口：（贪心选择结果）,问题一登机口：（遗传算法结果）,问题二登机口：（贪心选择结果）,问题二登机口：（轮盘选择优化后的基因算法结果）,问题三登机口：（轮盘选择优化后的基因算法结果）,
PK383,20-Jan-18,20:05,GN0205,D,73A,20-Jan-18,21:35,GN0560,D,TIF,LXF,S4,S21,S7,lawn,S28,
PK384,20-Jan-18,20:10,GN0237,D,73H,21-Jan-18, 9:10,GN912,I,SJA,UTB,lawn,lawn,lawn,lawn,lawn,
PK385,20-Jan-18,20:10,GN0261,D,73H,20-Jan-18,21:05,GN0260,D,YNO,DHR,S14,T18,S24,S22,S10,
PK386,20-Jan-18,20:10,NV621,I,325,21-Jan-18, 1:50,NV322,I,ILH,NOM,lawn,lawn,lawn,lawn,lawn,
PK387,20-Jan-18,20:10,NV6317,D,319,21-Jan-18, 8:15,NV6358,D,ITO,EBU,T17,S24,S16,S5,T18,
PK388,20-Jan-18,20:15,NV6551,D,319,20-Jan-18,21:05,*****,D,UTO,***,S7,S2,S9,T16,S24,
PK389,20-Jan-18,20:15,NV6725,D,320,21-Jan-18, 8:20,NV6724,D,ISC,ISC,S17,S22,T15,S10,T13,
PK390,20-Jan-18,20:20,NV6549,D,319,21-Jan-18, 8:25,NV6548,D,OBP,OBP,S15,lawn,S4,T18,lawn,
PK391,20-Jan-18,20:25,NV317,I,320,21-Jan-18, 0:15,NV6134,I,DOY,DFC,﻿T1,S12,﻿T1,lawn,S12,
PK392,20-Jan-18,20:25,NV3278,D,325,21-Jan-18, 6:40,NV3446,D,YJZ,YJZ,S25,lawn,T18,T11,S17,
PK393,20-Jan-18,20:30,NV6117,I,325,21-Jan-18, 9:0,NV6230,D,UQF,QFL,T9,lawn,lawn,T9,T9,
PK394,20-Jan-18,20:30,NV6578,D,325,21-Jan-18, 9:0,NV6532,D,TZY,DLH,T13,T11,S25,T15,lawn,
PK395,20-Jan-18,20:30,NV6772,D,325,20-Jan-18,22:05,NV6772,D,GPD,EMD,S2,T17,S19,S26,S4,
PK396,20-Jan-18,20:40,*****,D,319,20-Jan-18,21:30,NV6478,D,***,DTY,S9,T10,T19,S20,T16,
